costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,tic,fyrc,sic,ebitda,revt
A,USD,STD,INDL,C,001004,2023-05-31,AAR CORP,AIR,5,5080,179.3000,1990.6000
A,USD,STD,INDL,C,001045,2023-12-31,AMERICAN AIRLINES GROUP INC,AAL,12,4512,6267.0000,52788.0000
A,USD,STD,INDL,C,001050,2023-12-31,CECO ENVIRONMENTAL CORP,CECO,12,3564,52.6950,544.8450
A,USD,STD,FS,C,001062,2023-11-30,ASA GOLD AND PRECIOUS METALS,ASA,11,6799,,13.0180
A,USD,STD,INDL,C,001062,2023-11-30,ASA GOLD AND PRECIOUS METALS,ASA,11,6799,-1.0790,2.3940
A,USD,STD,INDL,C,001075,2023-12-31,PINNACLE WEST CAPITAL CORP,PNW,12,4911,1618.6830,4695.9910
A,USD,STD,INDL,C,001076,2023-12-31,PROG HOLDINGS INC,PRG,12,6141,1849.3280,2408.2640
A,USD,STD,INDL,C,001078,2023-12-31,ABBOTT LABORATORIES,ABT,12,3845,10036.0000,40109.0000
A,USD,STD,INDL,C,001084,2023-12-31,WORLDS INC,WDDD,12,7370,-0.3170,0.0000
A,CAD,STD,INDL,C,001096,2023-12-31,MORGUARD CORP,MRCBF,12,6510,580.9760,1224.0180
A,USD,STD,INDL,C,001097,2023-12-31,ACMAT CORP  -CL A,ACMTA,12,6351,0.5810,2.1480
A,USD,STD,INDL,C,001104,2023-12-31,ACME UNITED CORP,ACU,12,3420,18.2560,191.5010
A,USD,STD,INDL,C,001117,2023-12-31,BK TECHNOLOGIES CORP,BKTI,12,3663,0.8580,74.0940
A,USD,STD,INDL,C,001119,2023-12-31,ADAMS DIVERSIFIED EQUITY FD,ADX,12,6726,,
I,USD,STD,INDL,C,001121,2023-12-31,ADAMS RESOURCES & ENERGY INC,AE,12,5172,27.6960,2745.2930
A,USD,STD,INDL,C,001161,2023-12-31,ADVANCED MICRO DEVICES,AMD,12,3674,3881.0000,22680.0000
A,USD,STD,INDL,C,001166,2023-12-31,ASM INTERNATIONAL NV,ASMIY,12,3559,917.3590,2911.8460
A,USD,STD,INDL,C,001186,2023-12-31,AGNICO EAGLE MINES LTD,AEM,12,1040,2689.1220,6626.9090
A,USD,STD,INDL,C,001209,2023-09-30,AIR PRODUCTS & CHEMICALS INC,APD,9,2810,4062.7000,12600.0000
A,USD,STD,INDL,C,001210,2023-03-31,AIR T INC,AIRT,3,4513,0.2790,247.3230
A,USD,STD,INDL,C,001224,2023-09-30,SPIRE ALABAMA INC,EGN1,9,4924,189.0000,571.1000
A,USD,STD,INDL,C,001225,2023-12-31,ALABAMA POWER CO,SO1,12,4911,3036.0000,7050.0000
A,USD,STD,INDL,C,001230,2023-12-31,ALASKA AIR GROUP INC,ALK,12,4512,1288.0000,10426.0000
I,USD,STD,INDL,C,001234,2023-12-31,ATRION CORP,ATRI,12,3841,37.6770,169.3260
A,USD,STD,INDL,C,001254,2023-12-31,MATSON INC,MATX,12,4400,478.6000,3094.6000
